Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
104,1,3,1,156,1,135.7432,78.2906,18.1699,2,3,1,1,0,0,1,135.7432,165.6433,2.592,29.9002,10,
104,1,3,2,157,1,199.3117,259.482,105.9451,2,3,1,3,0,1,0,105.9451,NaN,100000,999,0,
104,1,3,1,158,1,347.713,199.3067,229.5457,2,3,1,1,0,0,1,347.713,316.1262,2.5817,-31.5869,0,
104,1,3,1,159,1,106.3573,169.3394,258.7075,1,2,3,1,1,0,0,106.3573,120.5634,2.7418,14.2062,20,
104,1,3,1,160,1,319.1445,286.073,108.9552,3,2,1,2,0,1,0,286.073,310.1176,1.9513,24.0446,10,
104,1,3,2,161,1,47.6116,196.9868,347.3955,1,2,3,1,1,0,0,47.6116,74.6318,1.481,27.0202,10,
104,1,3,1,162,1,255.1617,287.7853,138.599,3,1,2,3,1,0,0,138.599,123.6205,2.6517,-14.9785,20,
104,1,3,2,163,1,199.6661,349.858,316.8046,3,1,2,1,0,1,0,199.6661,NaN,100000,999,0,
104,1,3,2,164,1,108.5272,45.0251,168.9126,1,2,3,1,1,0,0,108.5272,136.9993,1.6211,28.4721,10,
104,1,3,1,165,1,45.5213,257.3488,166.0953,3,2,1,3,1,0,0,166.0953,130.123,2.1114,-35.9723,0,
104,1,3,2,166,1,228.9608,165.7272,347.4457,3,2,1,1,0,0,1,228.9608,212.3097,1.8212,-16.6511,20,
104,1,3,1,167,1,18.1927,227.9709,317.4931,3,2,1,3,1,0,0,317.4931,293.9055,1.8913,-23.5876,10,
104,1,3,1,168,1,76.7813,257.3779,108.3551,2,3,1,2,1,0,0,257.3779,240.2502,2.2315,-17.1276,20,
104,1,3,2,169,1,226.6564,47.2663,168.6869,1,2,3,2,0,1,0,47.2663,NaN,100000,999,0,
104,1,3,2,170,1,165.9661,288.4472,45.2523,2,3,1,2,1,0,0,288.4472,266.4,4.2127,-22.0472,10,
104,1,3,2,171,1,46.0426,138.3291,199.8667,3,2,1,3,1,0,0,199.8667,133.2043,2.0816,-66.6624,-20,
104,1,3,1,172,1,166.9705,46.7964,105.4443,2,1,3,3,0,0,1,105.4443,116.6187,3.002,11.1744,30,
104,1,3,1,173,1,347.8786,199.2117,287.4986,3,1,2,3,1,0,0,287.4986,297.9933,2.1814,10.4947,30,
104,1,3,2,174,1,79.7156,195.5635,48.2414,2,1,3,1,0,1,0,79.7156,NaN,100000,999,0,
104,1,3,2,175,1,168.2646,46.9074,256.5001,3,1,2,3,1,0,0,256.5001,203.7375,2.1114,-52.7626,-10,
104,1,3,2,176,1,258.094,197.2651,15.0508,1,3,2,1,1,0,0,258.094,224.7247,1.6411,-33.3693,0,
104,1,3,2,177,1,225.6266,256.8224,108.3812,3,1,2,3,1,0,0,108.3812,129.2129,2.2716,20.8318,20,
104,1,3,2,178,1,289.3621,108.0063,316.6059,2,3,1,2,1,0,0,108.0063,133.2269,2.0414,25.2207,10,
104,1,3,1,179,1,225.1131,285.3254,19.6198,2,3,1,1,0,0,1,225.1131,300.6494,2.3916,75.5363,-20,
104,1,3,1,180,1,318.3728,139.1758,108.2824,2,1,3,2,1,0,0,139.1758,133.3017,1.7612,-5.8741,30,
104,1,4,1,181,1,287.5532,256.9261,316.553,3,2,1,1,0,0,1,287.5532,300.8486,1.7112,13.2955,20,
104,1,4,1,182,1,16.188,349.0879,137.0291,3,2,1,3,1,0,0,137.0291,136.9836,2.5317,-0.045514,40,
104,1,4,1,183,1,345.3449,225.8339,289.7372,1,2,3,1,1,0,0,345.3449,124.0146,2.7318,138.6697,-20,
104,1,4,2,184,1,255.0117,168.201,289.0159,1,2,3,2,0,1,0,168.201,NaN,100000,999,0,
